類・品目,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,持家の帰属家賃及び生鮮食品を除く総合,食料（酒類を除く）及びエネルギーを除く総合,食料,生鮮食品,生鮮食品を除く食料,穀類,魚介類,生鮮魚介,肉類,乳卵類,野菜・海藻,生鮮野菜,果物,生鮮果物,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,住居,持家の帰属家賃を除く住居,家賃,持家の帰属家賃を除く家賃,設備修繕・維持,光熱・水道,電気代,ガス代,他の光熱,上下水道料,家具・家事用品,家庭用耐久財,室内装備品,寝具類,家事雑貨,家事用消耗品,家事サービス,被服及び履物,衣料,和服,洋服,シャツ・セーター・下着類,シャツ・セーター類,下着類,履物類,他の被服類,被服関連サービス,保健医療,医薬品・健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通・通信,交通,自動車等関係費,通信,教育,授業料等,教科書・学習参考教材,補習教育,教養娯楽,教養娯楽用耐久財,教養娯楽用品,書籍・他の印刷物,教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,エネルギー,教育関係費,教養娯楽関係費,情報通信関係費
198103,79.8,79.2,81.7,81.3,76.4,79.8,83.7,78.8,86,84.2,92.6,83.3,108.8,77,85,74.9,73.9,99.2,76.4,72.9,97.6,81.5,69.4,66,67.7,65.4,66.8,68.9,97.4,137.7,87.5,90.4,,142,296.5,126.7,130.9,83.1,135.9,57.4,72.4,69.5,78,67.8,72.2,71.4,71.4,79.8,81,71.4,68.7,81.3,116.1,50.9,91.9,62.9,96.8,154.2,50.5,50.3,63.3,48.9,92.1,1631.4,95.3,61.1,66.3,74.2,67.4,96.8,78.6,55.9,39.4,,54.5,88,
198104,80.4,79.8,82.4,81.9,77.2,80,85,78.8,86.6,84.4,92.8,83.8,101.8,78.2,86.8,76.6,75.7,99.3,76.9,73.5,98.5,81.5,69.9,66.3,68,65.8,67.3,69.1,98,137.7,87.5,90.3,,142.4,297.7,126.2,131.5,83.4,136.1,59.5,73.3,70.6,78.6,69.2,73.4,73.3,71.6,79.9,81.9,71.8,69.1,81.8,116.9,51.1,92.3,62.8,97.2,156,53.9,53.6,68.5,52.1,92.8,1627,93.6,61.2,67.9,74.2,67.9,96.8,78.6,55.9,40.2,,57.4,88.5,
198105,81.1,80.8,83.1,83,78.2,79.9,81.9,79.4,86.8,84.3,92.6,84.1,98.1,71,74.9,82.5,81.8,99.9,77,73.7,99.5,87.5,70.5,66.8,68.3,66.3,67.7,69.3,98.8,137.7,87.5,95.4,,142.3,295.6,126.1,131.7,83.5,136.5,59.8,77,77.3,78.7,77.4,75.3,76.3,71.7,80.2,81.9,72,69.2,82.2,117.7,51.2,95.8,66.9,100.6,156.3,54.1,53.8,68.5,52.1,92.7,1625.5,92.5,61.1,68.3,74.5,68.4,97,78.6,55.9,40.2,,57.6,89.6,
198106,81.3,81,83.1,83.2,78.5,79.8,80.9,79.5,87.1,84,92.1,84.2,98.6,67.3,68.9,87.9,87.3,99.9,77.1,74.1,99.9,87.5,70.8,66.9,67.8,66.8,68,67.6,99,137.7,87.5,96.6,,142.6,296.5,126.1,131.7,83.7,136.3,59.9,77.9,77.4,78.9,77.4,78,80.1,72.4,80.2,82.2,72.1,70.4,82.6,118.3,52.4,96,67.1,100.8,156.3,54.1,53.8,68.5,52.3,92.4,1625.5,91.1,61,68.3,74.7,68.7,97.2,78.6,55.9,40.2,,57.6,89.4,
198107,81,80.9,82.9,83.1,78.3,79.6,78.6,79.9,88.4,85,93.4,84.2,97.5,64.7,64.3,84.5,83.8,99.9,77.3,74.5,100.1,87.5,71,67.1,67.9,66.9,68.3,67.7,99.2,137.7,87.5,96.8,,142.4,296.2,126.1,131.5,83.8,135.9,60,76,74.9,78.9,74.3,75.7,76.5,72.5,80.2,81.9,72.2,70.6,82.9,118.8,52.5,96.1,67.5,100.5,156.3,54.1,53.8,68.5,52.3,92.4,1621,91.4,61,68.3,74.8,68.9,98.3,78.2,55.9,40.2,,57.7,89.5,
198108,80.6,80.7,82.5,82.7,77.6,79.3,76.3,80.1,88.7,86.6,96.1,84.3,98.8,63.6,62.5,76.2,75.2,99.9,77.4,75,100.2,87.5,71.2,67.2,68.1,67.1,68.4,67.9,99.8,137.7,87.5,101.4,,142.4,296.8,125.6,131.5,83.8,135.4,60,69.8,65.3,78.9,62.6,69.3,66.2,72.4,80,81.4,72.2,70.7,83.3,119.1,52.6,96.5,67.6,103,151.7,54.1,53.8,68.5,52.3,93.9,1613.7,96.9,61.2,68.7,74.8,69.1,98.7,78,55.9,40.2,,57.7,90.7,
198109,81.9,81.6,83.7,83.8,79,80.5,81.6,80.2,89,88.1,98.8,84.3,100.7,70.5,73.6,76.2,75.3,100.1,77.4,74.5,100.4,87.5,71.3,67.4,68.2,67.2,68.5,68,100.3,137.7,87.5,103.4,,143.6,301.5,126.6,132.4,83.8,135.5,60,78.1,78.8,79.5,79.1,76.1,77.2,72.4,80.3,82.4,72.3,70.8,83.7,119.3,52.6,97.1,67.8,104,151.7,54.1,53.8,68.5,52.3,92.7,1609.2,91.7,61.3,68.5,75.1,69.2,99.4,78.3,55.9,40.7,,57.8,89.7,
198110,82.1,82,84.1,84.2,79.4,80.6,80.6,80.5,89.5,87.8,98.6,84.1,104.7,66.2,66.4,83.2,82.4,100,77.8,74.8,100.6,87.5,71.5,67.5,68.3,67.4,68.7,68,100.7,138.5,87.5,104.6,,144.2,304.5,126.9,133.1,84.1,135.5,60.1,80.3,82.6,79.5,83.6,77.9,79.8,72.4,80.5,82.3,72.6,70.9,84,119.9,52.6,97.4,68.1,104.3,151.7,54.1,53.8,68.5,52.3,92.5,1609.2,90.8,61.4,68.5,75.3,69.4,99.9,78.5,55.9,40.7,,57.8,89.6,
198111,82.1,82.2,83.8,84.4,79.5,79.9,76.6,80.8,90.3,88.2,99,83.7,105,65.7,65.6,69.5,68.4,100,78,75,100.6,87.5,71.6,67.7,68.5,67.6,68.9,68.2,101.5,138.5,87.6,104.7,,144,303.9,126.7,133.1,84.2,135.7,60.2,79.7,81.2,79.9,81.8,77.6,79.4,72.6,80.6,82.6,72.7,71.1,84.2,120.3,52.6,97.7,68.6,104.3,151.7,54.1,53.8,68.5,52.3,92.7,1603.3,91.4,61.6,68.6,75.4,69.4,100.2,78.4,55.9,40.7,,57.8,89.8,
198112,82.1,82.3,84.1,84.5,79.6,80.2,76.8,81,90.4,87.5,97.5,83.6,108.5,66.8,67.3,69.5,68.5,100,78,75.1,100.5,87.5,71.8,67.8,68.7,67.7,69.1,68.3,101.5,138.5,87.6,104.5,,144,303,126.6,133.3,84.3,135.8,60.3,79.7,81.1,79.6,81.8,77.6,79.4,72.6,80.6,82.9,72.9,71.1,84.4,120.5,52.6,97.9,69,104.3,151.9,54.1,53.8,68.5,52.3,93.6,1603.3,94.7,62.4,68.4,75.4,69.7,100.3,78.5,55.9,40.7,,57.8,90.6,
198201,82.1,82,84.1,84.2,79.2,80.9,80.4,81,90.5,89.1,100.1,83.6,102,67.1,67.7,78.8,77.9,100.5,79,75.5,101.3,87.5,72,68.1,68.8,67.9,69.2,68.6,101.5,138.5,87.7,104.3,,144,302.4,126.9,133.6,84.5,135.9,60.3,76.3,74.9,79.5,74.3,75.6,76.1,72.8,80.7,82.8,73,71.3,85.3,120.7,52.6,98.2,69.8,104.3,151.9,54.1,53.8,68.5,52.3,93.2,1597.4,92.9,61.5,68.9,75.6,69.9,100.8,78.5,55.9,40.7,,57.8,90.4,
198202,82.1,81.8,83.8,83.9,78.9,81,81.3,80.9,90.5,88.6,98.8,83.7,98.6,68.6,70.1,80.1,79.4,100.7,79,75.5,101.4,87.5,72.2,68.1,69.1,68,69.4,68.7,101.6,138.5,87.7,104.1,,143.9,301.5,126.2,132.8,84.6,135.8,60.3,73.3,69.9,79.9,68,73.4,72.5,72.6,80.4,82.3,73.1,71.5,85.3,120.8,53,98.5,70.4,104.4,151.9,54.1,53.8,68.5,52.3,93.2,1594.5,94.1,61.5,68.7,75.6,70,100.8,78.6,55.9,40.7,,57.8,90.6,
198203,82.1,81.9,84,84,79.1,81.2,81.3,81.1,90.5,88.6,98.4,83.7,99.2,68.2,69.1,82.1,81.3,100.7,79.2,75.8,101.4,87.5,72.3,68.4,69.1,68.3,69.5,68.8,101.7,138.5,87.7,103.9,,143.4,300.9,124.8,132,84.8,135.7,60.3,74.2,71.6,79.9,70,73.3,72.4,72.7,81,82.5,73.2,71.5,85.4,120.9,53,98.5,70.3,104.3,151.9,54.1,53.8,68.5,52.3,93.2,1591.5,94.5,61.5,68.5,75.7,70.2,100.9,78.8,55.9,40.7,,57.8,90.6,
198204,82.8,82.5,84.6,84.6,79.8,81.6,82.5,81.4,91.2,90.1,100.9,84.1,97.1,69.9,71.9,79.7,78.8,100.7,79.3,76.2,101.7,87.5,72.7,68.7,69.7,68.7,70.3,68.9,102.2,138.5,87.8,103.8,,143.6,300,123.4,132.4,85,135.7,62.1,74.9,72.5,80.8,71,74,73.5,72.8,81.1,84,73.6,72,85.5,121.6,53.4,98.8,70.2,104.9,151.9,57,57,68.5,54.8,94.1,1587.1,93.2,61.6,70.3,76,70.3,101.3,78.6,55.9,42.7,,60.4,91.4,
198205,83.1,83.2,85,85.4,80.7,80.8,77.8,81.5,91.4,89.2,99.3,84.3,96.7,64.5,63.1,77,76.1,100.4,79.6,76.8,101.8,87.6,72.8,69.1,69.9,69,70.7,69.1,102.4,138.5,87.9,104.4,,143.1,296.8,124.1,132.5,85,135.8,62.4,79.9,80.9,80.8,81.3,78.1,80,73.1,81,83.9,73.6,72,85.6,121.9,53.4,99.8,72.2,105.2,151.9,57.2,57.1,68.5,54.8,94.2,1585.6,92.9,61.6,70.5,76,70.7,101.4,78.5,55.9,42.7,,60.5,92,
198206,83.1,83.4,85,85.6,80.9,80.4,75.4,81.6,91.5,89.2,99.1,85,95.1,62.4,59.4,74,73,100.1,79.6,77.5,102,87.6,73,69.3,70.1,69.4,70.9,69.3,102.5,138.5,87.9,104.9,,143.3,296.5,124.1,133.2,85.2,135.8,62.5,80.7,81.4,80.8,81.9,80.3,82.9,73.9,81,84.1,73.7,72.1,85.7,122,53.4,99.8,72.4,105.2,151.9,57.2,57.2,68.5,54.8,94.3,1584.1,93.1,61.6,70.5,76,70.9,101.4,78.4,55.9,42.7,,60.5,92,
198207,82.6,83.3,84.4,85.4,80.6,79.4,69.5,81.8,91.5,89.6,99.7,85.8,94.9,56.6,49.9,65.9,64.6,99.7,80,77.8,102,87.6,73.1,69.6,70.3,69.6,71.1,69.4,102.5,138.5,87.9,105.3,,143.1,295.3,124.6,133.3,85.3,135.7,62.7,77.8,76.9,80.3,76.6,77.1,77.8,74.1,81,83.9,73.8,72.1,85.7,122,53.4,100,72.6,105.1,151.9,57.2,57.2,68.5,54.8,94,1576.8,92.1,61.6,70.5,76,71.2,101.5,77.9,55.9,42.7,,60.5,91.9,
198208,83.2,83,85,85.1,80,81.9,81.7,81.9,91.5,92.9,105.4,85.9,95.8,70.5,72.6,70.4,69.3,99.4,80.2,77.7,102,87.6,73.2,69.7,70.3,69.7,71.1,69.6,103.3,138.5,87.9,110,,143.3,295.3,124.1,134.3,85.4,135.8,62.8,72,67.8,80.3,65.2,71.8,69.2,74.1,80.8,83.4,73.9,72.1,85.8,122,53.4,101,72.7,107.2,151.9,57.2,57.2,68.5,54.8,95.5,1569.4,97.3,62,71.2,76,71.3,101.5,77.8,55.9,42.7,,60.5,93.2,
198209,84.4,83.9,86.4,86.1,81.3,83.2,88.1,82.1,91.6,97,112.9,85.9,97.7,75.1,80.3,74,72.9,99.1,80,77.6,102.1,87.6,73.4,69.8,70.5,69.7,71.3,69.6,103.7,138.5,87.9,112.7,,144.2,298.6,125.2,134.6,85.5,136.1,62.8,80.1,80.5,81.4,80.6,79.2,81.2,73.8,81.4,84.9,73.9,72.3,86.1,122.7,53.4,101.1,72.8,107.4,151.9,57.2,57.2,68.5,54.8,95.6,1562,97.9,62.9,70.6,76.3,71.4,101.6,78.6,55.9,42.9,,60.7,93.2,
198210,84.7,84.3,86.7,86.4,81.7,83.2,86.7,82.3,91.8,94.1,107.5,85.8,100.5,72.3,75.5,81.9,81,99,80.1,78,102.2,87.6,73.6,69.8,70.6,69.8,71.3,69.7,103.8,138.5,87.9,113.4,,144.8,300.6,125.6,135.9,85.6,136.1,62.8,82.6,85.1,82.9,86,80.4,83.1,73.9,81.7,83.4,73.9,72.4,86.4,123.5,53.4,101.3,73.1,107.4,152,57.2,57.2,68.5,54.8,95.3,1560.5,96.3,62.9,70.8,76.3,71.5,101.6,78.6,55.9,42.9,,60.7,93.1,
198211,83.9,84.3,85.7,86.4,81.7,80.9,74.6,82.4,92.3,92.7,104.9,85.6,99.5,61.4,57.3,67.4,66.1,99.3,80.1,77.9,102.2,87.6,73.7,69.9,70.7,70,71.5,69.9,103.7,138.5,87.9,113.2,,144.8,299.8,125.6,136.2,85.7,136.5,63,82.7,85.2,83.5,86.1,80.3,82.9,74,81.6,83.9,74,72.5,86.7,124.2,53.4,101.3,73,107.4,152,57.2,57.2,68.5,54.8,94.8,1556.1,93.9,62.9,70.8,76.4,71.6,101.7,78.8,55.9,42.9,,60.7,92.6,
198212,83.8,84.4,85.6,86.5,81.8,80.5,72.5,82.4,92.5,91.6,102.3,85.5,98,61.4,57.1,63.5,62.2,99.3,80.3,77.9,102.3,87.6,73.9,70.2,71,70.1,71.7,70.1,103.7,138.5,87.9,112.7,,144.8,299.2,126,136.4,85.8,136.3,63,82,84,83.2,84.6,80,82.3,74.1,81.8,84,74.2,72.6,87,124.2,53.5,101.4,73.2,107.4,152.2,57.2,57.2,68.5,54.8,95.3,1544.3,95.2,64.1,70.8,76.5,71.8,102,79.1,55.9,42.9,,60.7,93.1,
198301,83.9,84,85.7,86.2,81.3,81.7,79,82.3,92.5,93.1,105.3,85.6,93.5,69,69.5,65.8,64.5,99.3,80.3,78.1,102.4,87.6,74.1,70.2,71.1,70.2,71.9,70.3,103.5,138.5,87.9,111.5,,144.5,298,125.6,136.1,85.9,136.3,63.2,78.6,78.2,83.9,77.1,77.6,78.5,74.1,81.8,83.9,74.2,72.3,87.3,124.8,53,101.3,73.4,107,152.2,57.2,57.2,68.5,54.9,95.5,1539.8,97.2,62.9,71.1,76.5,71.9,102.1,79,55.9,42.9,,60.7,93.3,
198302,83.6,83.6,85.4,85.7,80.8,82,80.1,82.5,92.5,92.4,103.9,86,93.8,69.7,70.5,70,68.8,99.1,80.3,78,102.4,87.6,74.2,70.5,71.3,70.4,72.1,70.3,103.2,138.5,87.9,108.5,,144.5,298,125.8,135.1,85.9,136.9,63.3,75.3,72.1,84.1,69.7,75.3,75.1,73.8,81.7,83.2,74.3,72.5,87.4,125.1,53.1,100.8,73.3,106.1,152.2,57.2,57.2,68.5,54.9,95.5,1542.8,97,63.1,70.9,76.6,71.9,102.1,79.3,55.9,42.9,,60.7,93.2,
198303,84.1,83.8,86,85.9,81,83.1,84.3,82.8,92.5,92.8,104.5,86.3,99.5,73.2,75.9,76,75,99.1,80.4,78.5,102.5,87.6,74.3,70.5,71.3,70.5,72.3,70.3,102.8,138.5,87.9,106.1,,144.3,296.2,125.7,134.6,86,137,63.5,75.9,73.4,84,71.3,75.3,74.7,74.1,82,83.9,74.4,72.5,87.5,125.2,53.1,100.4,73.5,104.8,152.5,57.2,57.2,68.5,55.3,96,1536.9,99.1,63,71.1,76.8,72.1,102.1,79.8,55.9,42.9,,60.8,93.7,
198304,84.4,84.2,86.3,86.4,81.8,83.1,83.8,82.9,92.7,92.8,104.8,86.4,97.3,72.7,75,75.9,74.8,99.3,80.5,78.8,102.5,87.6,74.5,70.9,71.6,71,72.7,70.5,102.4,138.5,87.9,102.8,,144.6,297.7,124.8,135,86.2,137.2,64.3,76.8,74.5,84.8,72.5,76.2,76,74.4,82.4,86.1,74.6,72.7,87.7,125.8,53.3,99.4,73.5,102.7,152.5,59.8,60,68.5,56.6,97,1553.1,98.4,63.1,72.7,77.1,72.1,102.9,79.7,55.9,53.3,,62.9,94.5,
198305,85.3,84.8,87.3,87,82.8,83.9,88.3,82.9,93,92.2,103.5,86.4,94.5,76.7,81.3,83.9,83.1,99.8,80.6,78.7,102.6,87.7,74.7,71.4,72,71.5,73.3,70.5,102.4,138.5,88,101.8,,144,293.6,125.3,134.8,86.2,137,64.4,81.9,83.2,85.3,83.1,79.9,82,74.4,82.5,86.2,74.5,72.7,87.7,126.6,53.2,99,73.5,101.9,152.2,59.8,60.1,68.5,56.6,96.7,1548.7,96.6,63,72.8,79.8,72.5,102.9,79.8,62.6,53.3,,63,94.3,
198306,84.8,84.9,86.6,87,82.9,82.5,79.9,83.1,93.2,90.5,100.5,86.4,93.9,65.9,63.5,82.8,82,100.1,80.6,79,102.7,89.5,74.9,71.6,72.2,71.8,73.6,70.5,102.4,138.5,88.2,101.1,,144.3,293.6,125.7,136.1,86.5,137,64.7,81.8,82.5,84.9,82.2,81.1,83.2,75.3,82.5,86.1,74.6,72.9,87.7,127.1,53.3,98.7,73.3,101.3,152.2,59.8,60.2,68.5,56.6,96.1,1545.8,94.1,63,72.9,80,72.6,104,79.4,62.6,53.3,,63,93.7,
198307,84.4,84.7,86.3,86.8,82.6,82.1,77,83.3,93.8,90.8,101.2,86.5,94.7,65.5,62.6,72.8,71.7,100.3,80.6,79.1,102.8,89.9,74.9,71.7,72.3,71.9,73.8,70.7,102.3,138.5,88.2,100.2,,144.3,293.6,125.5,135.8,86.4,136.8,64.9,79.9,79.8,84.9,78.9,78.5,79.3,75.2,82.6,86,74.7,72.9,87.9,127.2,53.3,98.3,73.5,100.3,152.2,59.8,60.2,68.5,56.6,96.4,1541.3,95.1,63,73.1,80.1,72.7,104.1,79.4,62.6,53.3,,63,94,
198308,84.3,84.1,86,86.1,81.6,83.2,82.6,83.4,94.2,91.6,102.8,86.6,94.4,71.8,72.8,76.6,75.6,100.3,80.5,79.1,102.8,90,75,71.8,72.5,72,73.9,70.7,102.2,138.5,88.2,99.4,,144,292.1,125,135.1,86.6,136.5,64.9,73.3,69.4,84.9,66.2,72.4,69.4,75.2,82.5,84.9,74.7,73,88.1,127.8,53.3,97.6,73.6,99.3,148.7,59.8,60.2,68.5,56.6,97.3,1536.9,97.1,63.2,73.6,80,72.7,104.1,79.3,62.6,53.3,,63,94.8,
198309,85.2,85.2,87.1,87.3,83.2,83.3,82.2,83.6,94.4,90.5,101.2,86.6,97.1,74.1,76.4,72,70.8,100.5,80.6,79.2,102.8,90,75.1,72,72.6,72.1,74,70.9,102.2,138.5,88.3,99.3,,145.2,297.7,125.6,136.8,86.7,136.8,64.9,82,83.3,85.8,83.1,80.4,82.3,75.2,82.7,86.5,74.9,73.2,88.6,128.3,53.4,98.4,73.4,101.4,148.7,59.8,60.2,68.5,56.6,97.1,1531,97.8,63.1,73.3,80.1,72.8,104.1,79.5,62.6,53.8,,63,94.6,
198310,85.9,85.6,87.9,87.7,83.6,84.5,87.1,83.9,94.8,89.8,99.9,86.5,98.2,76.7,80.3,85.1,84.4,101.4,80.7,79,102.9,92.7,75.3,72,72.9,72.3,74.5,70.8,102.2,138.5,88.4,99.2,,145.9,300.3,126.2,137.5,86.7,136.9,65.1,83.9,86.5,86.2,87.1,82,84.6,75.5,83,84.5,74.9,73.4,89.4,128.4,53.4,98.8,73.7,102,148.7,59.8,60.2,68.5,56.6,97.4,1533.9,98.2,63.2,73.5,80.1,72.9,104.1,79.7,62.6,53.8,,63,94.9,
198311,85.5,85.8,87.3,87.9,83.8,82.9,77.8,84.1,95.4,88.9,98.8,86.2,98.3,71.1,70.6,67.3,66.1,101.5,80.8,79.2,102.9,93.8,75.6,72.3,72.9,72.5,74.6,71,102,138.5,88.4,97.5,,145.9,300.3,126.1,137.2,86.7,137,65.1,84.8,88.3,86.9,89,81.9,84.5,75.6,82.9,84.9,75,73.8,91.2,129,53.4,98.7,73.6,102,148.7,59.8,60.2,68.5,56.6,97.3,1531,97.6,63.2,73.5,80.1,73,104.1,79.7,62.6,53.8,,63,94.8,
198312,85.2,85.7,87.1,87.9,83.8,82.5,74.7,84.4,95.6,88.5,97.9,86.1,99.2,69.1,66.4,63.5,62.2,101.6,80.9,79.3,102.9,94,75.9,72.2,73,72.4,74.7,71.2,101.5,138.5,88.4,94.6,,145.8,298.6,126.5,137,86.9,136.8,65.1,83.9,86.4,87.4,86.6,81.7,84,75.7,83,84.9,75.1,74,92.6,129.1,53.4,98.6,74,101.3,148.8,59.9,60.2,69.4,56.6,97.6,1528,98.4,64.4,73.3,80.3,73,104.4,79.8,62.6,53.8,,63,95.1,
198401,85.5,85.4,87.3,87.5,83.3,84,82.5,84.4,95.7,90,100.5,86.1,97,78.1,80.7,67.7,66.5,102,80.9,79.3,102.9,94,76,72.2,73.2,72.3,74.7,71.4,101.4,138.5,88.4,93.1,,145.5,298.3,125.6,136.6,87,136.9,65.2,80.4,80.3,87.4,79.2,79.5,80.7,75.6,83,84.6,75.1,74.3,93.5,129.8,53.4,98.5,74.1,100.9,148.8,59.9,60.2,69.4,56.6,97.4,1525.1,98,63.3,73.6,80.3,73,104.4,79.7,62.6,53.8,,63,95,
198402,86,85.3,87.9,87.3,83,86.1,91.4,84.8,96.4,90,100.3,86.4,100.5,90,100.3,71.8,70.7,102.1,81,79.3,103,94,76.1,72.3,73.3,72.5,74.9,71.4,101.6,138.5,88.4,94.5,,145.4,297.7,125,135.8,87.3,137,65.3,77.3,74.9,87.7,72.4,77.5,77.4,75.5,82.8,84.3,75.1,74.4,94.3,130.2,53.4,98.9,75.1,100.5,148.8,59.9,60.2,69.4,56.6,97.6,1519.2,99.2,63.5,73.5,80.4,73.1,104.4,79.9,62.6,53.8,,63.1,95.3,
198403,86.2,85.5,88.2,87.6,83.1,86.4,92.1,85,96.9,90.2,100.7,86.5,100.2,90,99.9,74.2,73.2,102.1,81.1,79.6,103,94,76.3,72.5,73.4,72.5,75,71.5,101.6,138.5,88.4,94.5,,145.5,298.3,125,135.4,87.7,137,65.3,77.7,75.5,87.9,73.1,77.7,77.7,75.7,83.4,84.6,75.2,74.3,94.7,130.3,53,98.9,75.4,100.6,148.8,59.9,60.2,69.4,56.7,98.3,1514.7,102.7,63.3,73.5,80.5,73.3,104.4,80.2,62.6,53.8,,63.1,96,
198404,86.4,85.9,88.3,88.1,83.7,85.8,89.5,85,97,91.3,102.5,86.5,98.3,84.8,91.2,75.3,74.3,102.2,81.2,79.7,102.9,94,76.6,72.6,73.6,72.8,75.3,71.6,102,138.5,88.4,94.3,,145.8,295.9,125.3,136.4,88.1,137.3,67.1,78.9,76.9,88.8,74.5,78.9,79.4,75.8,83.5,87.3,75.3,75,95.9,130.6,53.6,99,75.5,100.5,148.8,62.3,62.6,69.4,59.2,98.5,1511.8,97.5,63.5,75.5,80.6,73.4,104.7,80.3,62.6,58.9,,65,96.1,
198405,87,86.8,89,89.1,85.1,85.6,85.8,85.5,97,90.1,100,86.6,96.1,78.6,80.8,79.7,78.8,102.2,81.4,79.9,103,100.5,77.1,72.9,73.8,73,75.6,71.7,102.4,138.5,88.4,94.1,,145.6,293.3,126,136.6,88.5,137.3,67.2,83.9,85.9,89,85.5,81.8,84.2,75.6,83.7,87.3,75.3,75,96,130.8,53.6,100.3,78.2,100.2,148.7,62.4,62.8,69.4,59.2,99.6,1507.4,101.4,63.5,76.1,80.6,73.5,104.7,80.2,62.6,58.9,,65.1,97.9,
198406,86.4,86.7,88.2,88.9,85,84.2,78.9,85.5,97.1,90.5,101.1,86.5,94.5,68.9,64.8,76.6,75.7,102.4,81.2,80,103.3,100.5,77.3,73,73.9,73.2,75.8,71.8,102.4,138.5,88.4,93.7,,145.6,293,125.7,136.8,88.6,137.3,67.3,83.8,85.5,89.1,85,82.2,84.5,76.2,83.9,87.3,75.3,75.1,96.1,131,53.6,99.9,78.2,99.6,148.7,62.4,62.8,69.4,59.2,98.4,1502.9,96.3,63.3,75.9,80.7,73.7,104.7,80.2,62.6,58.9,,65.1,96.8,
198407,86.6,86.6,88.4,88.8,84.8,85,82.3,85.6,97.1,90.9,101.7,86.6,94.3,70.2,66.9,84.6,84,103.1,81.2,80.5,103.3,100.5,77.5,73.2,74.3,73.4,76.2,72,102.4,138.5,88.4,93.5,,145.6,293,125.2,137,88.7,137,67.4,81.7,82.5,88.9,81.5,79.3,79.8,76.2,83.7,87.1,75.5,75.1,96.1,131.4,53.6,100.4,78.9,99.7,148.7,62.4,62.8,69.4,59.2,98.7,1500,97.4,63.3,76,80.8,74.1,104.7,79.9,62.6,58.9,,65.1,97.2,
198408,85.9,86.1,87.6,88.2,83.9,84.5,79.3,85.8,97.2,93,105.6,86.6,94.8,68.5,64.2,73.9,72.8,103.5,81.3,80.8,103.4,100.5,77.5,73.3,74.3,73.5,76.3,72.1,102.4,138.5,88.4,93.5,,145.6,292.7,125.5,136.9,88.9,136.8,67.4,75.2,72.1,88.9,68.7,73.4,70.4,76.2,83.9,85.7,75.5,75.1,96.1,131.4,53.6,100.2,79.3,99.8,145.6,62.4,62.8,69.4,59.2,98.9,1498.5,96.9,63.5,76.4,80.8,74.3,104.8,79.6,62.6,58.9,,65.1,97.5,
198409,87.2,87.1,89.1,89.2,85.1,85.8,84.9,86.1,97.3,92.8,104.5,86.7,98.8,75.7,76,77.9,76.9,103.7,81.3,81,103.4,100.5,77.6,73.4,74.4,73.6,76.4,72.1,102.9,138.5,88.4,96.3,,146.2,294.8,126.1,137.7,89.1,137.2,67.4,83.5,85.1,89.5,84.5,81.5,83.3,76.5,84.1,87.2,75.5,75.1,96.2,131.5,53.6,101,78.9,102.1,145.6,62.4,62.8,69.4,59.2,98.7,1494.1,96.9,63.6,76,81,74.4,104.8,79.8,62.6,59.7,,65.1,97.2,
198410,87.8,87.6,89.8,89.9,85.9,86.1,86.3,86.1,97.8,93,105.3,86.6,98,71.9,69.5,91.3,90.9,103.7,81.5,80.6,103.5,100.5,77.7,73.5,74.5,73.7,76.6,72.1,103,138.5,88.4,97,,147.3,299.2,127.4,137.9,89.2,137.2,67.4,86.9,91,89.9,91.6,83.9,86.8,76.6,84.3,86.1,75.6,77.9,96.1,131.7,56.9,101.2,79.2,102.2,145.6,62.5,62.8,69.4,59.2,98.9,1495.6,98.4,63.5,76.1,81,74.5,104.8,79.9,62.6,59.7,,65.2,97.5,
198411,87.4,87.7,89.2,89.9,86.1,84.6,78.8,86,98.1,91.7,103.1,86.4,97.3,64.8,58,83.6,82.9,103.8,81.7,80.4,103.7,100.5,77.7,73.6,74.7,73.8,76.7,72.1,102.7,138.5,88.4,94.8,,147.3,299.2,127,138.1,89.3,137.3,67.6,87.1,91.3,90.4,91.9,84,87,76.9,84.4,86.7,75.7,77.9,96.1,132.2,56.9,101.2,79.4,102,145.6,62.5,62.8,69.4,59.2,98.7,1494.1,96.9,63.5,76.1,81.4,74.5,107.1,80.2,62.6,59.7,,65.3,97.3,
198412,87.5,87.7,89.4,89.9,86.1,85.2,81.2,86.2,98.2,91.7,102.8,86.4,97.2,64.5,57.4,93.1,92.7,104.1,81.8,80.5,103.7,100.5,77.9,73.8,74.8,74.1,77,72.4,102.3,138.5,88.5,91.7,,147,298.6,126.5,137.3,89.6,137.3,67.7,86.5,90.1,90.1,90.5,84,86.8,76.9,84.5,86.4,75.9,78,96.2,132.9,56.9,101.1,79.6,101.5,145.6,62.5,62.8,69.4,59.2,99.3,1489.7,98.4,64.9,76,81.5,74.6,107,80.4,62.6,59.7,,65.3,97.9,
